

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

258.315  000.015  000.015: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/ledger.vim
258.348  000.013  000.013: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/nix.vim
258.381  000.013  000.013: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/prisma.vim
258.414  000.014  000.014: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/pug.vim
258.453  000.015  000.015: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/ql.vim
258.492  000.018  000.018: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/query.vim
258.552  000.016  000.016: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/surface.vim
258.590  000.015  000.015: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/teal.vim
258.625  000.015  000.015: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/tlaplus.vim
258.660  000.015  000.015: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/yang.vim
258.778  000.014  000.014: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/vim-fugitive/ftdetect/fugitive.vim
259.088  004.255  003.919: sourcing /opt/homebrew/Cellar/neovim/0.6.1/share/nvim/runtime/filetype.vim
259.268  000.023  000.023: sourcing /opt/homebrew/Cellar/neovim/0.6.1/share/nvim/runtime/ftplugin.vim
259.436  000.015  000.015: sourcing /opt/homebrew/Cellar/neovim/0.6.1/share/nvim/runtime/indent.vim
259.673  000.037  000.037: sourcing /opt/homebrew/Cellar/neovim/0.6.1/share/nvim/runtime/syntax/synload.vim
259.708  000.231  000.194: sourcing /opt/homebrew/Cellar/neovim/0.6.1/share/nvim/runtime/syntax/syntax.vim
261.113  000.093  000.093: sourcing /opt/homebrew/Cellar/neovim/0.6.1/share/nvim/runtime/plugin/gzip.vim
261.141  000.008  000.008: sourcing /opt/homebrew/Cellar/neovim/0.6.1/share/nvim/runtime/plugin/health.vim
261.193  000.032  000.032: sourcing /opt/homebrew/Cellar/neovim/0.6.1/share/nvim/runtime/plugin/man.vim
261.607  000.114  000.114: sourcing /opt/homebrew/Cellar/neovim/0.6.1/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
261.692  000.479  000.365: sourcing /opt/homebrew/Cellar/neovim/0.6.1/share/nvim/runtime/plugin/matchit.vim
261.794  000.081  000.081: sourcing /opt/homebrew/Cellar/neovim/0.6.1/share/nvim/runtime/plugin/matchparen.vim
261.827  000.012  000.012: sourcing /opt/homebrew/Cellar/neovim/0.6.1/share/nvim/runtime/plugin/netrwPlugin.vim
263.684  000.100  000.100: sourcing /opt/homebrew/Cellar/neovim/0.6.1/share/nvim/runtime/autoload/remote/define.vim
264.117  002.186  002.085: sourcing /Users/kailuo/.local/share/nvim/rplugin.vim
264.119  002.273  000.087: sourcing /opt/homebrew/Cellar/neovim/0.6.1/share/nvim/runtime/plugin/rplugin.vim
264.194  000.050  000.050: sourcing /opt/homebrew/Cellar/neovim/0.6.1/share/nvim/runtime/plugin/shada.vim
264.236  000.014  000.014: sourcing /opt/homebrew/Cellar/neovim/0.6.1/share/nvim/runtime/plugin/spellfile.vim
264.322  000.065  000.065: sourcing /opt/homebrew/Cellar/neovim/0.6.1/share/nvim/runtime/plugin/tarPlugin.vim
264.391  000.048  000.048: sourcing /opt/homebrew/Cellar/neovim/0.6.1/share/nvim/runtime/plugin/tohtml.vim
264.427  000.013  000.013: sourcing /opt/homebrew/Cellar/neovim/0.6.1/share/nvim/runtime/plugin/tutor.vim
264.532  000.085  000.085: sourcing /opt/homebrew/Cellar/neovim/0.6.1/share/nvim/runtime/plugin/zipPlugin.vim
265.234  000.595  000.595: sourcing /Users/kailuo/.config/nvim/plugin/packer_compiled.lua
265.594  002.550: loading rtp plugins
266.785  000.614  000.614: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/asyncrun.vim/plugin/asyncrun.vim
266.854  000.041  000.041: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/asyncrun.vim/plugin/script_load.vim
267.674  000.615  000.615: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/asynctasks.vim/plugin/asynctasks.vim
267.784  000.082  000.082: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/asynctasks.vim/plugin/task_help.vim
268.001  000.028  000.028: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/AutoSave.nvim/plugin/ascmds.vim
268.251  000.035  000.035: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/calendar.vim/plugin/calendar.vim
268.768  000.128  000.128: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/dashboard-nvim/plugin/dashboard.vim
269.259  000.143  000.143: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/indent-blankline.nvim/plugin/indent_blankline.vim
269.766  000.209  000.209: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/LuaSnip/plugin/luasnip.vim
270.021  000.083  000.083: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/markdown-preview.nvim/plugin/mkdp.vim
270.200  000.020  000.020: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/neoformat/plugin/neoformat.vim
271.852  001.396  001.396: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/nvim-cmp/plugin/cmp.lua
272.002  000.031  000.031: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/nvim-colorizer.lua/plugin/colorizer.vim
272.288  000.028  000.028: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/nvim-jdtls/plugin/nvim_jdtls.vim
272.522  000.066  000.066: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/nvim-lsp-installer/plugin/nvim-lsp-installer.vim
272.954  000.249  000.249: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/nvim-lspconfig/plugin/lspconfig.vim
273.603  000.339  000.339: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/nvim-treesitter/plugin/nvim-treesitter.vim
274.144  000.362  000.362: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/nvim-treesitter-textobjects/plugin/nvim-treesitter-textobjects.vim
274.367  000.030  000.030: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/nvim-web-devicons/plugin/nvim-web-devicons.vim
274.604  000.031  000.031: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/plenary.nvim/plugin/plenary.vim
274.777  000.021  000.021: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/rust-tools.nvim/plugin/rust-tools.vim
275.347  000.102  000.102: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/telescope.nvim/plugin/telescope.vim
275.557  000.056  000.056: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/trouble.nvim/plugin/trouble.vim
275.789  000.083  000.083: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/vim-easy-align/plugin/easy_align.vim
276.068  000.126  000.126: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/vim-floaterm/plugin/floaterm.vim
276.850  000.627  000.627: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/vim-fugitive/plugin/fugitive.vim
278.656  000.036  000.036: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/vim-matchup/autoload/matchup/unmatchit.vim
278.825  000.009  000.009: sourcing /opt/homebrew/Cellar/neovim/0.6.1/share/nvim/runtime/plugin/matchparen.vim
279.208  000.151  000.151: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/vim-matchup/autoload/matchup.vim
279.407  000.062  000.062: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/vim-matchup/autoload/matchup/perf.vim
279.931  000.260  000.260: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/vim-matchup/autoload/matchup/loader.vim
280.438  000.321  000.321: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/vim-matchup/autoload/matchup/matchparen.vim
280.969  003.960  003.120: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/vim-matchup/plugin/matchup.vim
281.453  000.316  000.316: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/vim-table-mode/plugin/table-mode.vim
281.694  000.089  000.089: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/vim-translator/plugin/translator.vim
282.170  000.124  000.124: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/vim-visual-multi/autoload/vm/plugs.vim
282.676  000.220  000.220: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/vim-visual-multi/autoload/vm/maps.vim
282.921  000.093  000.093: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/vim-visual-multi/autoload/vm/maps/all.vim
283.478  001.632  001.195: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/vim-visual-multi/plugin/visual-multi.vim
283.697  000.059  000.059: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/vista.vim/plugin/vista.vim
283.879  000.023  000.023: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/which-key.nvim/plugin/which-key.vim
284.040  006.822: loading packages
284.416  000.020  000.020: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/vim-matchup/after/plugin/matchit.vim
284.632  000.131  000.131: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/cmp-buffer/after/plugin/cmp_buffer.lua
284.769  000.049  000.049: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/cmp-nvim-lsp/after/plugin/cmp_nvim_lsp.lua
284.920  000.070  000.070: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/cmp-path/after/plugin/cmp_path.lua
285.118  000.090  000.090: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/cmp_luasnip/after/plugin/cmp_luasnip.lua
285.227  000.827: loading after plugins
285.233  000.006: inits 3
288.038  002.806: reading ShaDa
289.114  000.114  000.114: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/vim-matchup/autoload/matchup/ts_engine.vim
289.742  000.033  000.033: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/vim-matchup/autoload/matchup/re.vim
289.888  001.703: opening buffers
289.990  000.102: BufEnter autocommands
289.991  000.001: editing files in windows
296.564  000.175  000.175: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/dashboard-nvim/autoload/dashboard.vim
297.292  000.159  000.159: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/vim-matchup/autoload/matchup/pos.vim
297.975  000.443  000.443: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/vim-matchup/autoload/matchup/delim.vim
298.315  000.041  000.041: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/dashboard-nvim/autoload/dashboard/utils.vim
298.464  000.052  000.052: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/dashboard-nvim/autoload/dashboard/header.vim
298.800  000.106  000.106: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/dashboard-nvim/autoload/dashboard/section.vim
301.688  000.053  000.053: sourcing /Users/kailuo/.local/share/nvim/site/pack/packer/start/dashboard-nvim/syntax/dashboard.vim
303.017  011.995: VimEnter autocommands
303.018  000.001: UIEnter autocommands
303.019  000.001: before starting main loop
305.884  002.866: first screen update
305.886  000.002: --- NVIM STARTED ---
